date,close,high,low,open,pre,change,rate,volume,amount
2019/1/2,2969.5353,3018.7759,2958.4883,3017.0674,3010.6536,-41.1183,-1.3658,6866302100,76105571278
2019/1/3,2964.8421,3000.4413,2953.2548,2963.0186,2969.5353,-4.6932,-0.158,7086710300,76664797393
2019/1/4,3035.8741,3036.8147,2935.8295,2940.1916,2964.8421,71.032,2.3958,10331897200,1.07141037088e+11
2019/1/7,3054.303,3061.749,3035.9123,3055.1535,3035.8741,18.4289,0.607,10116435900,1.05703940791e+11
2019/1/8,3047.7035,3055.51,3038.5339,3049.8747,3054.303,-6.5995,-0.2161,8617058500,79628882664
2019/1/9,3078.4759,3117.9614,3062.8474,3065.2307,3047.7035,30.7724,1.0097,10736435000,1.17129678906e+11
2019/1/10,3072.6864,3092.5411,3062.5721,3077.4817,3078.4759,-5.7895,-0.1881,8527175600,90206871737
2019/1/11,3094.7782,3102.8333,3071.0264,3082.2615,3072.6864,22.0918,0.719,7178642400,77420239579
2019/1/14,3067.7845,3097.4064,3064.3827,3092.4984,3094.7782,-26.9937,-0.8722,6612170200,68115969095
2019/1/15,3127.9904,3129.3708,3064.6705,3071.5185,3067.7845,60.2059,1.9625,8877296200,99976891144
2019/1/16,3128.6517,3135.0117,3117.2926,3126.1347,3127.9904,0.6613,0.0211,8021434100,85781591791
2019/1/17,3111.4168,3141.7099,3110.0608,3132.6285,3128.6517,-17.2349,-0.5509,8017487100,82888206986
2019/1/18,3168.1739,3171.6864,3120.3458,3124.5025,3111.4168,56.7571,1.8242,10396383400,1.06780658491e+11
2019/1/21,3185.6364,3199.2134,3170.8773,3170.8773,3168.1739,17.4625,0.5512,9391502200,1.0553698658e+11
2019/1/22,3143.3171,3181.9494,3135.3378,3181.9494,3185.6364,-42.3193,-1.3284,7299052800,78150876313
2019/1/23,3141.0532,3157.6269,3131.8673,3136.096,3143.3171,-2.2639,-0.072,5987047800,62669652004
2019/1/24,3158.7817,3165.6296,3125.3008,3146.6046,3141.0532,17.7285,0.5644,7293463600,80963877219
2019/1/25,3184.4696,3203.1747,3164.4082,3165.1814,3158.7817,25.6879,0.8132,8396772900,93207954748
2019/1/28,3183.7777,3228.8678,3174.7243,3203.1189,3184.4696,-0.6919,-0.0217,8262243100,97371496147
2019/1/29,3193.9698,3200.9898,3148.2345,3177.261,3183.7777,10.1921,0.3201,7765833400,85943908590
2019/1/30,3168.4829,3202.896,3167.8934,3181.6551,3193.9698,-25.4869,-0.798,6374651700,73005123447
2019/1/31,3201.6331,3216.0673,3178.0105,3182.6987,3168.4829,33.1502,1.0462,8624783900,97509924771
2019/2/1,3247.3971,3247.4956,3207.7168,3225.7335,3201.6331,45.764,1.4294,8201964100,94766412763
2019/2/11,3306.4725,3307.0638,3239.8079,3239.8079,3247.3971,59.0754,1.8192,9881843400,1.14752354821e+11
2019/2/12,3330.3353,3335.3606,3298.6337,3306.3523,3306.4725,23.8628,0.7217,12223246200,1.22834101007e+11
2019/2/13,3397.0276,3405.5773,3329.1436,3337.7794,3330.3353,66.6923,2.0026,16382833200,1.68866262062e+11
2019/2/14,3402.1403,3415.3994,3381.9821,3392.8547,3397.0276,5.1127,0.1505,15112729000,1.38649287971e+11
2019/2/15,3338.7047,3395.0294,3335.8705,3391.242,3402.1403,-63.4356,-1.8646,14366860300,1.41555060948e+11
2019/2/18,3445.7448,3445.7448,3366.423,3366.423,3338.7047,107.0401,3.206,18288608900,1.80449742544e+11
2019/2/19,3439.6078,3480.7938,3419.0731,3454.7216,3445.7448,-6.137,-0.1781,17908378500,1.85762746553e+11
2019/2/20,3451.9273,3463.7735,3421.505,3449.9321,3439.6078,12.3195,0.3582,14739031100,1.4557026307e+11
2019/2/21,3442.7056,3500.2519,3431.631,3450.1411,3451.9273,-9.2217,-0.2671,18014328700,1.85197154785e+11
2019/2/22,3520.1182,3520.1182,3417.9784,3439.3781,3442.7056,77.4126,2.2486,18723797400,2.02869288708e+11
2019/2/25,3729.4831,3729.4831,3574.6885,3575.8528,3520.1182,209.3649,5.9477,34255712200,3.76382393433e+11
2019/2/26,3684.6935,3762.1128,3679.2705,3734.7059,3729.4831,-44.7896,-1.201,35803869800,3.87632860075e+11
2019/2/27,3678.3921,3737.6317,3638.3334,3682.8116,3684.6935,-6.3014,-0.171,28623600700,3.07306148139e+11
2019/2/28,3669.3703,3695.4646,3650.0537,3675.2642,3678.3921,-9.0218,-0.2453,18481022000,2.06010958185e+11
2019/3/1,3749.7143,3749.7143,3668.7653,3699.2157,3669.3703,80.344,2.1896,20471100400,2.35620623488e+11
2019/3/4,3794.104,3886.5797,3764.7764,3783.0367,3749.7143,44.3897,1.1838,32349012600,3.76397284706e+11
2019/3/5,3816.0132,3816.1621,3770.7858,3785.3762,3794.104,21.9092,0.5775,23085316600,2.61464122212e+11
2019/3/6,3848.0903,3855.1556,3787.5225,3822.8588,3816.0132,32.0771,0.8406,31807737100,3.31155616598e+11
2019/3/7,3808.8497,3845.182,3778.8004,3841.1456,3848.0903,-39.2406,-1.0197,32984654800,3.59339152916e+11
2019/3/8,3657.579,3774.5431,3656.1917,3721.4016,3808.8497,-151.2707,-3.9716,31799007700,3.49296691227e+11
2019/3/11,3729.9546,3731.9091,3650.8125,3663.9772,3657.579,72.3756,1.9788,23091286500,2.68718458804e+11
2019/3/12,3755.3519,3804.72,3723.6785,3758.3151,3729.9546,25.3973,0.6809,27492638200,3.25180619759e+11
2019/3/13,3724.1941,3763.0926,3708.8145,3758.713,3755.3519,-31.1578,-0.8297,23368224800,2.8617104816e+11
2019/3/14,3698.4858,3747.819,3673.8509,3710.2934,3724.1941,-25.7083,-0.6903,19081723700,2.3182014939e+11
2019/3/15,3745.005,3782.2364,3713.936,3713.936,3698.4858,46.5192,1.2578,17517454400,2.24194362925e+11
2019/3/18,3851.7479,3851.7479,3733.6781,3753.6436,3745.005,106.7429,2.8503,21692806000,2.7647344887e+11
2019/3/19,3833.9626,3868.335,3815.2187,3856.5885,3851.7479,-17.7853,-0.4617,18172711000,2.24096889634e+11
2019/3/20,3835.4397,3855.1465,3790.5119,3825.3356,3833.9626,1.4771,0.0385,17563209000,2.15406993602e+11
2019/3/21,3836.8913,3864.0696,3823.4661,3840.2783,3835.4397,1.4516,0.0378,19631031000,2.31993445602e+11
2019/3/22,3833.8013,3845.5808,3786.5917,3838.1255,3836.8913,-3.09,-0.0805,17135699300,1.98518386319e+11
2019/3/25,3742.8252,3807.1793,3741.6062,3776.4426,3833.8013,-90.9761,-2.373,19858632900,2.23396564361e+11
2019/3/26,3700.4388,3770.843,3687.5472,3766.5287,3742.8252,-42.3864,-1.1325,17304657900,1.96547811179e+11
2019/3/27,3743.3878,3750.2642,3703.4508,3724.4058,3700.4388,42.949,1.1606,13875845400,1.77507528442e+11
2019/3/28,3728.3953,3755.716,3710.0814,3731.0612,3743.3878,-14.9925,-0.4005,13327212900,1.72604392908e+11
2019/3/29,3872.3412,3876.379,3739.7739,3739.7739,3728.3953,143.9459,3.8608,21563910300,2.83022298648e+11
2019/4/1,3973.928,3982.9091,3901.1698,3901.1698,3872.3412,101.5868,2.6234,27138270400,3.40799403573e+11
2019/4/2,3971.2852,3988.0975,3956.5059,3986.3443,3973.928,-2.6428,-0.0665,22600034100,2.81892057021e+11
2019/4/3,4022.1566,4026.4972,3939.7837,3947.8697,3971.2852,50.8714,1.281,23191736800,2.84826495445e+11
2019/4/4,4062.2309,4072.1138,4021.7055,4039.7415,4022.1566,40.0743,0.9963,26041093900,3.13539431378e+11
2019/4/8,4057.2286,4122.6034,4017.4887,4097.1027,4062.2309,-5.0023,-0.1231,26750557600,3.24670452523e+11
2019/4/9,4075.4301,4084.243,4038.2825,4063.8139,4057.2286,18.2015,0.4486,18295680800,2.43187913128e+11
2019/4/10,4085.847,4115.378,4035.4741,4062.4425,4075.4301,10.4169,0.2556,19468761300,2.78282025052e+11
2019/4/11,3997.5778,4097.1249,3990.239,4083.4618,4085.847,-88.2692,-2.1604,16904964100,2.36259156719e+11
2019/4/12,3988.6168,4006.9335,3961.464,3986.7822,3997.5778,-8.961,-0.2242,13586211800,1.78795939062e+11
2019/4/15,3975.5244,4085.3882,3974.2264,4056.4919,3988.6168,-13.0924,-0.3282,18264557100,2.36298721391e+11
2019/4/16,4085.7891,4085.7891,3943.4879,3958.0963,3975.5244,110.2647,2.7736,20204196600,2.50569206656e+11
2019/4/17,4087.2398,4106.6158,4057.5032,4080.7172,4085.7891,1.4507,0.0355,18036711700,2.28824429887e+11
2019/4/18,4072.0753,4094.0533,4056.2356,4085.1148,4087.2398,-15.1645,-0.371,14656212300,1.87812687766e+11
2019/4/19,4120.6078,4120.6356,4046.2042,4076.2953,4072.0753,48.5325,1.1918,15079491000,1.94701690763e+11
2019/4/22,4025.6109,4126.0907,4015.4748,4125.9717,4120.6078,-94.9969,-2.3054,18935374500,2.44380549239e+11
2019/4/23,4019.0053,4061.0858,4005.2832,4021.6277,4025.6109,-6.6056,-0.1641,15561165000,2.04121505816e+11
2019/4/24,4030.0887,4044.3375,3967.8058,4033.6292,4019.0053,11.0834,0.2758,14549869500,1.86497961652e+11
2019/4/25,3941.816,4022.5631,3938.3251,4013.6027,4030.0887,-88.2727,-2.1903,15972207100,1.97530997752e+11
2019/4/26,3889.2748,3943.8331,3887.2525,3921.8909,3941.816,-52.5412,-1.3329,14200806800,1.86572137127e+11
2019/4/29,3900.3339,3953.2288,3875.452,3896.5824,3889.2748,11.0591,0.2843,15387092700,2.03946553152e+11
2019/4/30,3913.211,3923.1082,3885.147,3887.1799,3900.3339,12.8771,0.3302,11623337600,1.61665923924e+11
2019/5/6,3684.6168,3791.6119,3647.1405,3775.0765,3913.211,-228.5942,-5.8416,19747288200,2.54115400089e+11
2019/5/7,3720.6684,3738.1767,3671.8341,3702.2656,3684.6168,36.0516,0.9784,13284765400,1.83659159181e+11
2019/5/8,3667.4574,3722.9325,3642.4981,3648.5489,3720.6684,-53.211,-1.4301,11286735500,1.45058486354e+11
2019/5/9,3599.7001,3656.8966,3584.8227,3637.346,3667.4574,-67.7573,-1.8475,10103739400,1.4182909576e+11
2019/5/10,3730.4513,3732.9238,3589.2906,3643.0557,3599.7001,130.7512,3.6323,14800384700,1.95067170793e+11
2019/5/13,3668.7255,3702.9012,3658.0004,3675.7597,3730.4513,-61.7258,-1.6546,10339186000,1.35053926707e+11
2019/5/14,3645.1503,3683.2619,3630.4388,3630.4388,3668.7255,-23.5752,-0.6426,10231346000,1.35262868908e+11
2019/5/15,3727.0923,3741.0406,3674.9931,3674.9931,3645.1503,81.942,2.248,11016176900,1.52534546781e+11
2019/5/16,3743.9635,3745.1405,3707.9032,3720.039,3727.0923,16.8712,0.4527,11625827400,1.39851940057e+11
