date,close,open,high,low,high_rate,low_rate,d_close,d_open,d_high,d_low
2018/1/2,4087.4,4045.21,4087.78,4045.21,0.010523557,0,56.55,22.33,44.64,32.34
2018/1/3,4111.39,4091.46,4140.05,4088.73,0.011875956,-0.000667243,23.99,46.25,52.27,43.52
2018/1/4,4128.81,4114.12,4137.64,4105.89,0.005716897,-0.002000428,17.42,22.66,-2.41,17.16
2018/1/5,4138.75,4133.34,4151.28,4123.28,0.004340316,-0.002433867,9.94,19.22,13.64,17.39
2018/1/8,4160.16,4140.85,4166.32,4127.31,0.006150911,-0.00326986,21.41,7.51,15.04,4.03
2018/1/9,4189.3,4157.54,4191.28,4153.5,0.008115376,-0.000971728,29.14,16.69,24.96,26.19
2018/1/10,4207.81,4187.2,4211.05,4175.14,0.00569593,-0.002880206,18.51,29.66,19.77,21.64
2018/1/11,4205.59,4197.11,4211.8,4181.96,0.003500027,-0.003609627,-2.22,9.91,0.75,6.82
2018/1/12,4225,4205.14,4227.39,4199.03,0.005291144,-0.001452984,19.41,8.03,15.59,17.07
2018/1/15,4225.24,4229.84,4262.93,4216.36,0.007822991,-0.003186882,0.24,24.7,35.54,17.33
2018/1/16,4258.47,4215.62,4260.21,4213.13,0.010577329,-0.00059066,33.23,-14.22,-2.72,-3.23
2018/1/17,4248.12,4261.78,4283.34,4230.54,0.005058919,-0.00733027,-10.35,46.16,23.13,17.41
2018/1/18,4271.42,4259.38,4292.64,4246.68,0.007808648,-0.002981655,23.3,-2.4,9.3,16.14
2018/1/19,4285.4,4281.94,4316.57,4269.62,0.008087456,-0.002877201,13.98,22.56,23.93,22.94
2018/1/22,4336.6,4276.48,4338.48,4275.9,0.014497905,-0.000135626,51.2,-5.46,21.91,6.28
2018/1/23,4382.61,4346.89,4383.57,4346.79,0.008438217,-2.30E-05,46.01,70.41,45.09,70.89
2018/1/24,4389.89,4389.45,4397.82,4349.09,0.001906845,-0.009194774,7.28,42.56,14.25,2.3
2018/1/25,4365.08,4381.98,4392.2,4336.24,0.002332279,-0.010438204,-24.81,-7.47,-5.62,-12.85
2018/1/26,4381.3,4352.22,4403.34,4351.49,0.01174573,-0.00016773,16.22,-29.76,11.14,15.25
2018/1/29,4302.02,4387.06,4395.91,4287.11,0.002017296,-0.022782912,-79.28,34.84,-7.43,-64.38
2018/1/30,4256.1,4286.68,4308.51,4251.57,0.005092519,-0.008190488,-45.92,-100.38,-87.4,-35.54
2018/1/31,4275.9,4234.11,4287.86,4232.77,0.012694521,-0.000316477,19.8,-52.57,-20.65,-18.8
