date,close,open,high,low,volume/K,daliy_region,daily_opengian,daily_gain,ln_Rt
2005/1/4,982.79 ,994.77 ,994.77 ,980.66 ,7.41 ,,,,
2005/1/5,992.56 ,981.58 ,997.32 ,979.88 ,7.12 ,0.017641566,-0.013348036,0.011123946,0.009891999
2005/1/6,983.17 ,993.33 ,993.79 ,980.33 ,6.29 ,0.013636667,0.011899417,-0.01028089,-0.009505419
2005/1/7,983.96 ,983.05 ,995.71 ,979.81 ,7.30 ,0.016097375,-0.010402952,0.000925262,0.000803201
2005/1/10,993.88 ,983.76 ,993.96 ,979.79 ,5.79 ,0.014358701,0.000721981,0.01023451,0.010031229
2005/1/11,997.13 ,994.19 ,999.55 ,991.09 ,5.85 ,0.00849983,0.01054637,0.002952817,0.003264678
2005/1/12,996.75 ,996.65 ,996.98 ,989.26 ,5.02 ,0.007773521,0.00247132,0.000100331,-0.000381166
2005/1/13,996.88 ,996.08 ,999.47 ,992.70 ,6.04 ,0.006796635,-0.00057208,0.000802826,0.000130415
2005/1/14,988.31 ,996.62 ,1006.46 ,987.23 ,7.30 ,0.019291461,0.000541978,-0.00837314,-0.008633988
2005/1/17,967.45 ,979.11 ,981.53 ,965.08 ,7.29 ,0.016901579,-0.017725558,-0.011980252,-0.02133267
2005/1/18,974.69 ,967.37 ,974.87 ,960.29 ,7.31 ,0.015068807,-0.012062947,0.007538423,0.007455728
2005/1/19,967.21 ,974.33 ,974.33 ,965.26 ,6.34 ,0.00935256,0.007169006,-0.007334417,-0.007703833
2005/1/20,956.25 ,963.21 ,963.21 ,952.23 ,7.73 ,0.011464854,-0.011478599,-0.007252071,-0.011396253
2005/1/21,982.60 ,954.46 ,984.27 ,943.44 ,14.45 ,0.04236748,-0.009125721,0.029056384,0.027182735
2005/1/24,998.13 ,1001.85 ,1001.85 ,986.24 ,14.36 ,0.015703837,0.048457834,-0.003720041,0.015681409
2005/1/25,997.77 ,995.64 ,997.95 ,985.24 ,9.86 ,0.012817909,-0.006217823,0.002137042,-0.00036074
2005/1/26,989.93 ,995.78 ,999.47 ,988.48 ,7.66 ,0.011056729,0.000140603,-0.005892116,-0.007888555
2005/1/27,974.63 ,987.34 ,987.70 ,973.77 ,6.95 ,0.014203872,-0.008511891,-0.012956547,-0.015576322
